date,ticker,bank_name,open,high,low,close,volume,pct_change
2025-11-10,CTG,VietinBank,33669.80078125,33877.2109375,32943.859375,33185.83984375,11837720,-2.040814679300218
2025-11-11,CTG,VietinBank,33289.546875,33531.52734375,32494.46875,33531.52734375,12843592,1.0416716937935444
2025-11-12,CTG,VietinBank,33531.52734375,34222.8984375,33254.9765625,34015.48828125,9738139,1.443301202890801
2025-11-13,CTG,VietinBank,33980.91796875,33980.91796875,33462.390625,33773.5078125,8205032,-0.7113831991745534
2025-11-14,CTG,VietinBank,33531.52734375,33600.6640625,33220.41015625,33566.09375,9579526,-0.614132424892011
2025-11-17,CTG,VietinBank,33704.37109375,33842.64453125,33427.8203125,33773.5078125,7825225,0.6179273169074184
2025-11-18,CTG,VietinBank,33808.07421875,34257.46875,33773.5078125,34153.76171875,8781866,1.1258940242780069
2025-11-19,CTG,VietinBank,34153.76171875,34153.76171875,33704.37109375,34119.19140625,7831848,-0.1012196336809934
2025-11-20,CTG,VietinBank,34084.625,34084.625,33635.23046875,33946.34765625,6711369,-0.5065880604906092
2025-11-21,CTG,VietinBank,33600.6640625,34015.48828125,33393.25390625,33946.34765625,9596204,0.0
2025-11-24,CTG,VietinBank,33946.34765625,34015.48828125,33704.37109375,33738.9375,6241557,-0.6109940260740077
2025-11-25,CTG,VietinBank,33669.80078125,33842.64453125,33289.546875,33289.546875,8249808,-1.331964366097782
2025-11-26,CTG,VietinBank,33393.25390625,33808.07421875,33116.703125,33808.07421875,10341031,1.5576281218156351
2025-11-27,CTG,VietinBank,33877.2109375,34292.03515625,33738.9375,33773.5078125,11131613,-0.10224305006650836
2025-11-28,CTG,VietinBank,33635.23046875,33877.2109375,33324.11328125,33877.2109375,6870397,0.3070546464279955
2025-12-01,CTG,VietinBank,33808.07421875,33842.64453125,33462.390625,33462.390625,5717779,-1.224481889212492
2025-12-02,CTG,VietinBank,33842.64453125,34015.48828125,33462.390625,33911.78125,13055878,1.3429722641043362
2025-12-03,CTG,VietinBank,34222.8984375,36227.875,34222.8984375,35951.328125,33005748,6.01427232608136
2025-12-04,CTG,VietinBank,36089.6015625,36366.15234375,35743.9140625,35951.328125,11046684,0.0
2025-12-05,CTG,VietinBank,36020.46484375,36089.6015625,35398.23046875,35605.640625,9785052,-0.9615430584318685
2025-12-08,CTG,VietinBank,35536.50390625,35536.50390625,34983.40625,35329.09375,9195965,-0.7766940016965318
2025-12-09,CTG,VietinBank,35190.8203125,35190.8203125,34534.015625,34637.72265625,13890518,-1.9569454530658614
2025-12-10,CTG,VietinBank,34845.1328125,35121.6796875,34637.72265625,34914.26953125,7928735,0.7983979713230394
2025-12-11,CTG,VietinBank,35052.54296875,35052.54296875,34568.5859375,34637.72265625,6708951,-0.7920740680324889
2025-12-12,CTG,VietinBank,34775.99609375,34983.40625,34222.8984375,34222.8984375,13052806,-1.1976082344292038
2025-12-15,CTG,VietinBank,34292.03515625,34395.7421875,33911.78125,34361.171875,9451816,0.40403777532906915
2025-12-16,CTG,VietinBank,34568.5859375,35259.95703125,33911.78125,35259.95703125,22011647,2.6156999520261515
2025-12-17,CTG,VietinBank,35500.0,35550.0,34350.0,34700.0,10879670,-1.5880820012166286
2025-12-18,CTG,VietinBank,34700.0,34750.0,33950.0,34350.0,5829595,-1.0086455331412059
2025-12-19,CTG,VietinBank,34350.0,34600.0,34050.0,34450.0,8136052,0.29112081513829047
2025-12-22,CTG,VietinBank,34500.0,35250.0,34300.0,35150.0,11598680,2.0319303338171224
2025-12-23,CTG,VietinBank,35300.0,35550.0,34650.0,35000.0,10532590,-0.4267425320056861
2025-12-24,CTG,VietinBank,35000.0,35300.0,34700.0,35300.0,9510109,0.8571428571428674
2025-12-25,CTG,VietinBank,35400.0,36450.0,35000.0,35000.0,15303000,-0.8498583569405138
